Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Aquanet Passion RC AF300-70-RC-B;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_rc_af300_70_rc_b/;AF300-70-RC-B;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;300;900;395;Латунь / Пластик;Модерн;Черный матовый;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;300;мар.17;
Верхний душ Aquanet Passion AF301-84-RM;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rm/;AF301-84-RM;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;200;20;200;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;0.76;
Душевая стойка Aquanet Pragmatic R AF430-70-R-C, с полочкой;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_pragmatic_r_af430_70_r_c_s_polochkoy/;AF430-70-R-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Pragmatic;Душевая стойка;Для душа;;На стену;400;1265;365;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;250;мар.17;
Душевая стойка Aquanet Gotic AF440-72-S-B;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_gotic_af440_72_s_b/;AF440-72-S-B;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Gotic;Душевая стойка;Для душа;Однорычажное;На стену;;1200;378;Латунь / Пластик;Модерн;Черный матовый;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Китай;Да;;;Нет;;04.мар;
Верхний душ Aquanet Passion AF301-84-SL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_sl/;AF301-84-SL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;300;20;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;300;янв.77;
Верхний душ Aquanet Passion AF301-84-SM;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_sm/;AF301-84-SM;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;200;20;200;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;0.89;
Верхний душ Aquanet Passion AF301-84-RL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rl/;AF301-84-RL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;300;20;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;300;01.май;
Верхний душ Aquanet Passion AF301-84-RXL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rxl/;AF301-84-RXL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;400;20;400;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;400;02.май;
Верхний душ Aquanet Passion AF301-84-OS;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_os/;AF301-84-OS;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;250;25;170;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;250;0.78;
Душевая стойка Aquanet Passion RC AF300-70-RC-С;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_rc_af300_70_rc_s/;AF300-70-RC-С;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;300;900;395;Латунь / Пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;;1500;1500;Китай;Нет;;;Нет;300;мар.17;
